,Company Name,Industry,Symbol,P/E,P/S,P/BV,PEG,Weighted PS,Weighted PE,Weighted PBV,Weighted PEG,Confidence Score
0,Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS.NS,33.983612,11.54442,4.9409704,2.1924910967741935,0.3,0.6,1.05,1.05,100.0
1,Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT.NS,79.4751,11.171628,19.796059,1.2818564516129032,0.3,0.6,1.05,0.7,88.33333333333333
2,Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK.NS,70.70529,11.475935,2.204326,-2.380649494949495,0.3,0.6,1.05,0.0,65.0
3,Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO.NS,23.569376,4.031691,4.6299295,0.7909186577181209,0.2,0.4,1.05,0.7,78.33333333333333
4,Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE.NS,79.167854,18.254301,9.220377,-2.7299260000000003,0.3,0.6,1.05,0.0,65.0
5,Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV.NS,41.675735,2.630157,4.556208,2.8545023972602745,0.1,0.6,1.05,1.05,93.33333333333333
6,Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL.NS,22.055796,0.4386652,2.2078745,-1.8534282352941178,0.1,0.4,1.05,0.0,51.66666666666667
7,Bharti Airtel Ltd.,TELECOM,BHARTIARTL.NS,0.0,3.007336,5.0657,0.0,0.2,0.0,1.05,0.0,41.66666666666667
8,Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA.NS,43.196438,6.3075666,30.266153,1.9370599999999998,0.0,0.6,1.05,1.05,90.0
9,Cipla Ltd.,PHARMA,CIPLA.NS,28.404129,3.3601322,3.7164092,0.251141724137931,0.2,0.6,1.05,0.35,73.33333333333334
10,Coal India Ltd.,METALS,COALINDIA.NS,7.3597674,1.0796925,2.5313509,-0.3439143644859813,0.1,0.2,1.05,0.0,45.0
11,Divi's Laboratories Ltd.,PHARMA,DIVISLAB.NS,47.731308,13.587016,10.728106,1.5347687459807073,0.3,0.6,1.05,1.05,100.0
12,Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY.NS,34.62977,3.9313607,4.3361754,0.0,0.2,0.6,1.05,0.0,61.66666666666667
